Day ,Sex,Cricket,Mass,Pronotum width,Development time,Lifespan,RMR,Emerge,Latency to emerge,Distance moved,Near duration,Middle duration,Far duration,Time in arena
14,F,D14-F01,0.5722,0.582,12,86,1.1184,1,351.56,15.3001368,30.96,0,0,30.96
14,F,D14-F02,0.6921,0.581,14,64,0.5781,0,600,0,0,0,0,0
14,F,D14-F03,0.7393,0.68,13,38,0.5377,0,600,0,0,0,0,0
14,F,D14-F04,0.7228,0.663,14,76,0.5265,0,600,0,0,0,0,0
14,F,D14-F05,0.6378,0.605,13,62,1.1155,1,275.84,18.414744,16.28,0,0,16.28
14,F,D14-F06,0.6359,0.602,13,63,0.5227,0,600,0,0,0,0,0
14,F,D14-F07,0.6826,0.611,13,56,1.1543,1,263.92,31.7492736,71.72,0,0,71.72
14,F,D14-F08,0.6197,0.612,14,94,0.9215,0,600,0,0,0,0,0
14,F,D14-F09,0.6398,0.603,14,28,0.8079,1,475.12,365.1671412,38.56,126.2,80.52,245.28
14,F,D14-F10,0.5768,0.579,13,74,0.5341,0,600,0,0,0,0,0
14,F,D14-F11,0.7396,0.596,14,69,1.1142,0,600,0,0,0,0,0
14,F,D14-F12,0.5657,0.608,13,35,0.8974,1,3.12,88.4011224,18.4,17.04,11,46.44
14,F,D14-F13,0.614,0.573,14,57,0.9607,1,150.96,32.4061932,32.32,0,0,32.32
14,F,D14-F14,0.8101,0.66,14,42,0.9726,1,340.08,25.6496988,13.84,0,0,13.84
14,F,D14-F15,0.7878,0.637,13,30,0.8881,1,520.2,346.1233764,86.44,204.36,189.48,480.28
14,F,D14-F16,0.5551,0.542,13,29,1.0705,1,221.24,159.8827332,63.64,0,0,63.64
14,F,D14-F17,0.5307,0.572,14,22,0.5439,0,600,0,0,0,0,0
14,F,D14-F18,0.6015,0.626,13,76,0.1861,1,37.2,479.9448516,55.28,352.92,160.76,568.96
14,F,D14-F19,0.6937,0.6,14,49,0.7426,0,600,0,0,0,0,0
14,F,D14-F20,0.5154,0.575,14,55,0.5138,0,600,0,0,0,0,0
14,F,D14-F21,0.7122,0.645,14,71,1.0683,1,329.96,452.219694,46.52,111.88,78.48,236.88
14,F,D14-F22,0.6259,0.62,14,79,0.7533,1,39.32,270.1209876,80.6,132.88,92.12,305.6
14,F,D14-F23,0.5881,0.608,14,76,0.7716,1,117.24,32.66778,33.24,0,0,33.24
14,F,D14-F24,0.615,0.59,14,60,0.6814,1,336.72,379.3091916,21,406.88,142.28,570.16
14,F,D14-F25,0.7054,0.643,13,37,0.8362,1,63,284.0630208,129.48,69.64,108.84,307.96
14,F,D14-F26,0.453,0.531,14,56,1.1855,1,280.64,27.1766508,5.36,0,0,5.36
14,F,D14-F27,0.5687,0.611,12,49,1.2628,1,124.12,577.7092668,93,181.56,124.12,398.68
14,F,D14-F28,0.5013,0.571,14,34,0.3217,0,600,0,0,0,0,0
14,F,D14-F32,0.6383,0.609,13,70,0.5247,0,600,0,0,0,0,0
14,F,D14-F33,0.5315,0.592,14,56,0.6202,1,35.68,101.9246724,173,0,0,173
14,M,D14-M01,0.6208,0.66,14,14,0.407,1,88.64,2072.3376,210.6,176.64,78.2,465.44
14,M,D14-M02,0.6012,0.605,15,32,0.9172,1,194.92,1208.8044,125.48,175.8,73.72,375
14,M,D14-M03,0.5077,0.614,15,19,0.9671,1,320,1338.416894,49.08,51.82,25.6,126.5
14,M,D14-M04,0.6952,0.682,14,28,0.5391,0,600,0,0,0,0,0
14,M,D14-M05,0.6731,0.691,15,19,0.9689,1,151.16,632.9640708,142.84,106.92,26.36,276.12
