,Video.file,Group,Clip.duration,Trial,ID,Experienced,Start..secs.,Tot.start,End..secs.,Tot.end,Behav,Result,SawSuccess,SawInteraction,Attm,success,observe
62,HDV_1070,CO,907,1,ORG-YPX,No,136,136,153,153,ODpush,0,1,0,0,0,1
75,HDV_1070,CO,907,1,OX-MGY,Yes,71,71,77,77,Dpush,1,0,0,0,1,0
71,HDV_1070,CO,907,1,OX-MGY,Yes,179,179,192,192,Dpush,1,0,0,0,1,0
74,HDV_1070,CO,907,1,OX-MGY,Yes,660,660,704,704,AattemptD,0,0,0,1,0,0
77,HDV_1070,CO,907,1,OX-MGY,Yes,704,704,721,721,BattemptL,0,0,0,1,0,0
73,HDV_1070,CO,907,1,OY-Y,Yes,200,200,216,216,ODpush,0,1,0,0,0,1
63,HDV_1070,CO,907,1,SPX-PSP,Yes,200,200,216,216,Dpush,1,0,0,0,1,0
65,HDV_1070,CO,907,1,XGR-OR,Yes,81,81,102,102,ODpush,0,1,0,0,0,1
60,HDV_1070,CO,907,1,XGR-OR,Yes,105,105,111,111,Dpush,1,0,0,0,1,0
64,HDV_1070,CO,907,1,XGR-OR,Yes,200,200,216,216,ODpush,0,1,0,0,0,1
69,HDV_1070,CO,907,1,XGR-OR,Yes,226,226,239,239,Dpush,1,0,0,0,1,0
66,HDV_1070,CO,907,1,XGR-OR,Yes,561,561,563,563,Bscrounge,1,0,0,0,0,0
70,HDV_1070,CO,907,1,XGR-OR,Yes,641,641,643,643,Ascrounge,1,0,0,0,0,0
61,HDV_1070,CO,907,1,XGR-OR,Yes,747,747,794,794,Ascrounge,1,0,0,0,0,0
67,HDV_1070,CO,907,1,XPO-OPR,Yes,105,105,111,111,ODpush,0,1,0,0,0,1
76,HDV_1070,CO,907,1,XPO-OPR,Yes,119,119,123,123,Dpush,1,0,0,0,1,0
72,HDV_1070,CO,907,1,XPO-OPR,Yes,136,136,153,153,ODpush,0,1,0,0,0,1
68,HDV_1070,CO,907,1,XPO-OPR,Yes,226,226,239,239,ODpush,0,1,0,0,0,1
135,HDV_1104,CO,907,1,OX-MGY,Yes,522,2232,534,2623,OBattemptD,0,0,1,1,0,1
138,HDV_1104,CO,907,1,OX-MGY,Yes,547,2257,553,2642,OAattemptD,0,0,1,1,0,1
137,HDV_1104,CO,907,1,SPX-PSP,Yes,547,2257,553,2642,AattemptD,0,0,0,1,0,0
133,HDV_1103,CO,275,1,XGR-OR,Yes,112,1547,144,1958,AattemptL,0,0,0,1,0,0
136,HDV_1104,CO,907,1,XGR-OR,Yes,522,2232,534,2623,BattemptD,0,0,0,1,0,0
59,00003,HI,485,1,BOX-KBS,No,19,1409,37,1427,OBattemptL,0,0,1,1,0,1
58,00003,HI,485,1,BOX-KBS,No,43,1433,72,1462,AattemptD,0,0,0,1,0,0
47,00003,HI,485,1,BOX-KBS,No,178,1568,190,1580,OA,0,1,0,0,0,1
18,00002,HI,1390,1,BOX-KBS,No,276,276,284,284,BattemptD,0,0,0,1,0,0
19,00002,HI,1390,1,BOX-KBS,No,293,293,303,303,OAattemptD,0,0,1,1,0,1
12,00002,HI,1390,1,BOX-KBS,No,339,339,343,343,BattemptD,0,0,0,1,0,0
3,00002,HI,1390,1,BOX-KBS,No,469,469,481,481,BattemptD,0,0,0,1,0,0
16,00002,HI,1390,1,BOX-KBS,No,481,481,484,484,Alog,1,0,0,0,1,0
11,00002,HI,1390,1,BOX-KBS,No,846,846,851,851,BattemptL,0,0,0,1,0,0
35,00002,HI,1390,1,BOX-KBS,No,1035,1035,1035,1035,Dattempt,0,0,0,1,0,0
10,00002,HI,1390,1,BOX-KBS,No,1194,1194,1204,1204,Ajiggle,1,0,0,0,1,0
7,00002,HI,1390,1,BOX-KBS,No,1249,1249,1250,1250,Ascrounge,1,0,0,0,0,0
42,00003,HI,485,1,RGX-WPP,No,119,1509,138,1528,OBattemptD,0,0,1,1,0,1
41,00003,HI,485,1,ROR-YXG,No,200,1590,200,1590,Ascrounge,1,0,0,0,0,0
8,00002,HI,1390,1,ROR-YXG,No,293,293,303,303,OAattemptD,0,0,1,1,0,1
2,00002,HI,1390,1,ROR-YXG,No,431,431,461,461,OBupG,0,1,0,0,0,1
26,00002,HI,1390,1,ROR-YXG,No,469,469,481,481,OBattemptD,0,0,1,1,0,1
54,00003,HI,485,1,RSB-GBX,No,91,1481,119,1509,OAattemptL,0,0,1,1,0,1
56,00003,HI,485,1,RSB-GBX,No,119,1509,138,1528,OBattemptD,0,0,1,1,0,1
53,00003,HI,485,1,RSB-GBX,No,138,1528,168,1558,OAjiggle,0,0,1,0,0,1
44,00003,HI,485,1,RSB-GBX,No,168,1558,178,1568,OCattemptD,0,0,1,1,0,1
51,00003,HI,485,1,RSB-GBX,No,178,1568,190,1580,OA,0,1,0,0,0,1
45,00003,HI,485,1,RSB-GBX,No,229,1619,237,1627,Ascrounge,1,0,0,0,0,0
33,00002,HI,1390,1,RSB-GBX,No,377,377,386,386,AattemptD,0,0,0,1,0,0
1,00002,HI,1390,1,RSB-GBX,No,386,386,388,388,Dpush,1,0,0,0,1,0
13,00002,HI,1390,1,RSB-GBX,No,393,393,402,402,OAattemptD,0,0,1,1,0,1
49,00003,HI,485,1,RSB-GBX,No,393,1783,425,1815,AattemptD,0,0,0,1,0,0
30,00002,HI,1390,1,RSB-GBX,No,402,402,417,417,OCattemptD,0,0,1,1,0,1
46,00003,HI,485,1,RSB-GBX,No,425,1815,463,1853,BattemptD,0,0,0,1,0,0
24,00002,HI,1390,1,RSB-GBX,No,431,431,461,461,BupG,1,0,0,0,1,0
4,00002,HI,1390,1,RSB-GBX,No,1241,1241,1244,1244,Ascrounge,1,0,0,0,0,0
48,00003,HI,485,1,XRB-GPG,No,19,1409,37,1427,BattemptL,0,0,0,1,0,0
43,00003,HI,485,1,XRB-GPG,No,78,1468,91,1481,BattemptL,0,0,0,1,0,0
50,00003,HI,485,1,XRB-GPG,No,91,1481,119,1509,AattemptL,0,0,0,1,0,0
57,00003,HI,485,1,XRB-GPG,No,119,1509,138,1528,BattemptD,0,0,0,1,0,0
52,00003,HI,485,1,XRB-GPG,No,138,1528,168,1558,Ajiggle,1,0,0,0,1,0
55,00003,HI,485,1,XRB-GPG,No,168,1558,178,1568,CattemptD,0,0,0,1,0,0
40,00003,HI,485,1,XRB-GPG,No,178,1568,190,1580,A,1,0,0,0,1,0
5,00002,HI,1390,1,XRB-GPG,No,276,276,284,284,OBattemptD,0,0,1,1,0,1
21,00002,HI,1390,1,XRB-GPG,No,293,293,303,303,AattemptD,0,0,0,1,0,0
6,00002,HI,1390,1,XRB-GPG,No,303,303,303,303,Ascrounge,1,0,0,0,0,0
37,00002,HI,1390,1,XRB-GPG,No,386,386,388,388,ODpush,0,1,0,0,0,1
29,00002,HI,1390,1,XRB-GPG,No,393,393,402,402,AattemptD,0,0,0,1,0,0
36,00002,HI,1390,1,XRB-GPG,No,402,402,417,417,CattemptD,0,0,0,1,0,0
17,00002,HI,1390,1,XRB-GPG,No,417,417,418,418,Cscrounge,1,0,0,0,0,0
15,00002,HI,1390,1,XRB-GPG,No,489,489,495,495,B,1,0,0,0,1,0
25,00002,HI,1390,1,XRB-GPG,No,750,750,760,760,BattemptD,0,0,0,1,0,0
34,00002,HI,1390,1,XRB-GPG,No,760,760,769,769,CattemptD,0,0,0,1,0,0
28,00002,HI,1390,1,XRB-GPG,No,769,769,773,773,AattemptD,0,0,0,1,0,0
38,00002,HI,1390,1,XRB-GPG,No,780,780,797,797,BattemptL,0,0,0,1,0,0
39,00002,HI,1390,1,XRB-GPG,No,797,797,817,817,Dpush,1,0,0,0,1,0
32,00002,HI,1390,1,XRB-GPG,No,817,817,821,821,AattemptD,0,0,0,1,0,0
9,00002,HI,1390,1,XRB-GPG,No,821,821,829,829,BattemptD,0,0,0,1,0,0
14,00002,HI,1390,1,XRB-GPG,No,829,829,831,831,Ascrounge,1,0,0,0,0,0
31,00002,HI,1390,1,XRB-GPG,No,985,985,987,987,BattemptD,0,0,0,1,0,0
27,00002,HI,1390,1,XRB-GPG,No,987,987,997,997,Ascrounge,1,0,0,0,0,0
20,00002,HI,1390,1,XRB-GPG,No,1108,1108,1112,1112,AattemptD,0,0,0,1,0,0
22,00002,HI,1390,1,XRB-GPG,No,1112,1112,1118,1118,BupT,1,0,0,0,1,0
23,00002,HI,1390,1,XRB-GPG,No,1255,1255,1256,1256,Ascrounge,1,0,0,0,0,0
324,HDV_1127,HI,380,2,BOX-KBS,No,32,3721,54,4165,BattemptL,0,0,0,1,0,0
285,HDV_1125,HI,907,2,BOX-KBS,No,255,2130,302,2599,OBattemptD,0,0,1,1,0,1
284,HDV_1125,HI,907,2,BOX-KBS,No,302,2177,311,2608,OCattemptD,0,0,1,1,0,1
323,HDV_1127,HI,380,2,BOX-KBS,No,312,4001,313,4424,Bscrounge,1,0,0,0,0,0
326,HDV_1127,HI,380,2,BOX-KBS,No,351,4040,355,4466,Bscrounge,1,0,0,0,0,0
314,HDV_1126,HI,907,2,BOX-KBS,No,374,3156,389,3593,Bjiggle,1,0,0,0,1,0
318,HDV_1126,HI,907,2,BOX-KBS,No,425,3207,438,3642,Bscrounge,1,0,0,0,0,0
317,HDV_1126,HI,907,2,BOX-KBS,No,651,3433,653,3857,AattemptD,0,0,0,1,0,0
298,HDV_1126,HI,907,2,BOX-KBS,No,653,3435,660,3864,BattemptD,0,0,0,1,0,0
311,HDV_1126,HI,907,2,BOX-KBS,No,675,3457,681,3885,BattemptD,0,0,0,1,0,0
303,HDV_1126,HI,907,2,BOX-KBS,No,733,3515,773,3977,OCattemptD,0,0,1,1,0,1
305,HDV_1126,HI,907,2,BOX-KBS,No,786,3568,855,4059,OAattemptD,0,0,1,1,0,1
310,HDV_1126,HI,907,2,BOX-KBS,No,822,3604,851,4055,CattemptL,0,0,0,1,0,0
287,HDV_1125,HI,907,2,BOX-KBS,No,838,2713,841,3138,ODattempt,0,0,1,1,0,1
293,HDV_1125,HI,907,2,BOX-KBS,No,842,2717,856,3153,AattemptL,0,0,0,1,0,0
325,HDV_1127,HI,380,2,GOR-RYX,Yes,180,3869,185,4296,Bjiggle,1,0,0,0,1,0
328,HDV_1127,HI,380,2,GOR-RYX,Yes,304,3993,306,4417,Bscrounge,1,0,0,0,0,0
327,HDV_1127,HI,380,2,GOR-RYX,Yes,348,4037,350,4461,Bscrounge,1,0,0,0,0,0
297,HDV_1126,HI,907,2,GOR-RYX,Yes,417,3199,427,3631,Bscrounge,1,0,0,0,0,0
299,HDV_1126,HI,907,2,GOR-RYX,Yes,690,3472,714,3918,OBattemptD,0,0,1,1,0,1
313,HDV_1126,HI,907,2,GOR-RYX,Yes,702,3484,733,3937,BattemptD,0,0,0,1,0,0
301,HDV_1126,HI,907,2,GOR-RYX,Yes,733,3515,773,3977,CattemptD,0,0,0,1,0,0
300,HDV_1126,HI,907,2,GOR-RYX,Yes,773,3555,786,3990,BattemptD,0,0,0,1,0,0
316,HDV_1126,HI,907,2,GOR-RYX,Yes,786,3568,855,4059,AattemptD,0,0,0,1,0,0
322,HDV_1126,HI,907,2,GOR-RYX,Yes,822,3604,851,4055,OCattemptL,0,0,1,1,0,1
283,HDV_1125,HI,907,2,RGX-WPP,No,302,2177,311,2608,OCattemptD,0,0,1,1,0,1
307,HDV_1126,HI,907,2,RGX-WPP,No,786,3568,855,4059,OAattemptD,0,0,1,1,0,1
294,HDV_1125,HI,907,2,RSB-GBX,No,255,2130,302,2599,OBattemptD,0,0,1,1,0,1
306,HDV_1126,HI,907,2,RSB-GBX,No,439,3221,439,3643,Bscrounge,1,0,0,0,0,0
319,HDV_1126,HI,907,2,RSB-GBX,No,773,3555,786,3990,OBattemptD,0,0,1,1,0,1
