Worm_ID,Trial_Day,Trial_Total,HT,Whorls
1,1,1,60,9
1,2,2,49,9
1,3,3,54,9
1,4,4,39,9
1,1,5,28,9
1,2,6,34,9
1,3,7,39,9
1,4,8,19,9
1,1,9,20,9
1,2,10,40,9
1,3,11,39,9
1,4,12,28,9
1,1,13,51,9
1,2,14,13,9
1,3,15,38,9
1,4,16,37,9
3,1,1,28,6
3,2,2,84,6
3,3,3,40,6
3,4,4,50,6
3,1,5,12,6
3,2,6,60,6
3,3,7,22,6
3,4,8,32,6
3,1,9,50,6
3,2,10,15,6
3,3,11,32,6
3,4,12,139,6
3,1,13,10,6
3,2,14,12,6
3,3,15,16,6
3,4,16,13,6
4,1,1,20,6
4,2,2,34,6
4,3,3,28,6
4,4,4,17,6
4,1,5,18,6
4,2,6,11,6
4,3,7,51,6
4,4,8,86,6
4,1,9,35,6
4,2,10,29,6
4,3,11,69,6
4,4,12,55,6
4,1,13,86,6
4,2,14,43,6
4,3,15,27,6
4,4,16,314,6
6,1,1,19,4
6,2,2,30,4
6,3,3,25,4
6,4,4,30,4
6,1,5,28,4
6,2,6,55,4
6,3,7,106,4
6,4,8,100,4
6,1,9,13,4
6,2,10,13,4
6,3,11,14,4
6,4,12,14,4
6,1,13,27,4
6,2,14,18,4
6,3,15,13,4
6,4,16,19,4
7,1,1,18,5
7,2,2,15,5
7,3,3,25,5
7,4,4,25,5
7,1,5,19,5
7,2,6,28,5
7,3,7,15,5
7,4,8,15,5
7,1,9,17,5
7,2,10,18,5
7,3,11,18,5
7,4,12,18,5
7,1,13,20,5
7,2,14,15,5
7,3,15,10,5
7,4,16,10,5
8,1,1,76,5
8,2,2,24,5
8,3,3,27,5
8,4,4,21,5
8,1,5,14,5
8,2,6,20,5
8,3,7,15,5
8,4,8,18,5
8,1,9,18,5
8,2,10,32,5
8,3,11,29,5
8,4,12,23,5
8,1,13,17,5
8,2,14,20,5
8,3,15,13,5
10,1,1,23,5
10,2,2,54,5
10,3,3,28,5
10,4,4,19,5
10,1,5,37,5
10,2,6,29,5
10,3,7,41,5
10,4,8,57,5
10,1,9,25,5
10,2,10,19,5
10,3,11,28,5
10,4,12,21,5
10,1,13,58,5
10,2,14,36,5
10,3,15,50,5
10,4,16,73,5
11,1,1,13,5
11,2,2,9,5
11,3,3,7,5
11,4,4,11,5
11,1,5,11,5
11,2,6,11,5
11,3,7,11,5
11,4,8,14,5
11,1,9,13,5
11,2,10,13,5
11,3,11,24,5
11,4,12,15,5
11,1,13,14,5
11,2,14,12,5
11,3,15,14,5
11,4,16,12,5
12,1,1,7,5
12,2,2,16,5
12,3,3,16,5
12,4,4,15,5
12,1,5,6,5
12,2,6,13,5
12,3,7,15,5
12,4,8,18,5
12,1,9,43,5
12,2,10,33,5
12,3,11,17,5
12,4,12,15,5
12,1,13,34,5
12,2,14,36,5
12,3,15,28,5
12,4,16,46,5
13,1,1,10,3
13,2,2,11,3
13,3,3,16,3
13,4,4,18,3
13,1,5,132,3
13,2,6,57,3
13,3,7,200,3
13,4,8,252,3
13,1,9,201,3
13,2,10,161,3
13,3,11,179,3
13,4,12,133,3
13,1,13,311,3
13,2,14,374,3
13,3,15,244,3
13,4,16,303,3
14,1,1,6,4
14,2,2,15,4
14,3,3,16,4
14,4,4,112,4
14,1,5,18,4
14,2,6,14,4
14,3,7,110,4
14,4,8,19,4
14,1,9,119,4
14,2,10,91,4
14,3,11,80,4
14,4,12,77,4
14,1,13,54,4
14,2,14,41,4
14,3,15,30,4
14,4,16,40,4
15,1,1,66,5
15,2,2,32,5
15,3,3,31,5
15,4,4,30,5
15,1,5,11,5
15,2,6,16,5
15,3,7,19,5
15,4,8,24,5
15,1,9,41,5
15,2,10,34,5
15,3,11,28,5
15,4,12,44,5
16,1,1,15,7
16,2,2,15,7
16,3,3,22,7
16,4,4,40,7
16,1,5,34,7
16,2,6,33,7
16,3,7,42,7
16,4,8,21,7
16,1,9,45,7
16,2,10,38,7
16,3,11,33,7
16,4,12,49,7
16,1,13,21,7
16,2,14,17,7
16,3,15,19,7
16,4,16,84,7
17,1,1,16,6
17,2,2,12,6
17,3,3,,6
17,4,4,,6
17,1,5,22,6
17,2,6,18,6
17,3,7,20,6
17,4,8,25,6
17,1,9,18,6
17,2,10,14,6
17,3,11,16,6
17,4,12,19,6
17,1,13,24,6
17,2,14,16,6
17,3,15,18,6
17,4,16,18,6
18,1,1,39,5
18,2,2,105,5
18,3,3,24,5
18,4,4,38,5
18,1,5,27,5
18,2,6,25,5
18,3,7,240,5
18,4,8,18,5
18,1,9,39,5
18,2,10,326,5
18,3,11,60,5
18,4,12,43,5
18,1,13,18,5
18,2,14,12,5
18,3,15,26,5
18,4,16,18,5
19,1,1,112,5
19,2,2,54,5
19,3,3,85,5
19,4,4,138,5
19,1,5,71,5
19,2,6,87,5
19,3,7,83,5
19,4,8,56,5
19,1,9,16,5
19,2,10,23,5
19,3,11,13,5
19,4,12,37,5
19,1,13,25,5
19,2,14,21,5
19,3,15,115,5
19,4,16,45,5
20,1,1,18,6
20,2,2,13,6
20,3,3,12,6
20,4,4,24,6
20,1,5,29,6
20,2,6,34,6
20,3,7,23,6
20,4,8,23,6
20,1,9,22,6
20,2,10,16,6
20,3,11,17,6
20,4,12,26,6
20,1,13,12,6
20,2,14,12,6
20,3,15,12,6
20,4,16,12,6
21,1,1,33,7
21,2,2,13,7
21,3,3,20,7
21,4,4,16,7
21,1,5,25,7
21,2,6,27,7
21,3,7,17,7
21,4,8,12,7
21,1,9,18,7
21,2,10,13,7
21,3,11,11,7
21,4,12,9,7
21,1,13,22,7
21,2,14,16,7
21,3,15,26,7
21,4,16,27,7
22,1,1,29,4
22,2,2,30,4
22,3,3,44,4
22,4,4,20,4
22,1,5,11,4
22,2,6,10,4
22,3,7,10,4
22,4,8,13,4
22,1,9,14,4
22,2,10,18,4
22,3,11,31,4
22,4,12,19,4
22,1,13,14,4
22,2,14,13,4
22,3,15,21,4
22,4,16,15,4
23,1,1,30,5
23,2,2,15,5
23,3,3,14,5
23,4,4,14,5
23,1,5,18,5
23,2,6,18,5
23,3,7,18,5
23,4,8,11,5
23,1,9,18,5
23,2,10,18,5
23,3,11,16,5
23,4,12,10,5
23,1,13,40,5
23,2,14,18,5
23,3,15,28,5
23,4,16,21,5
24,1,1,24,8
24,2,2,21,8
24,3,3,18,8
24,4,4,28,8
24,1,5,17,8
24,2,6,21,8
24,3,7,22,8
24,4,8,21,8
24,1,9,50,8
24,2,10,37,8
24,3,11,33,8
24,4,12,25,8
24,1,13,27,8
24,2,14,26,8
24,3,15,32,8
24,4,16,34,8
25,1,1,40,6
25,2,2,67,6
25,3,3,98,6
25,4,4,28,6
25,1,5,16,6
25,2,6,20,6
25,3,7,161,6
25,4,8,29,6
25,1,9,122,6
25,2,10,223,6
25,3,11,99,6
25,4,12,229,6
25,1,13,37,6
25,2,14,24,6
25,3,15,28,6
25,4,16,25,6
26,1,1,23,5
26,2,2,18,5
26,3,3,18,5
26,4,4,23,5
26,1,5,21,5
26,2,6,16,5
26,3,7,13,5
26,4,8,14,5
26,1,9,17,5
26,2,10,22,5
26,3,11,21,5
26,4,12,21,5
26,1,13,20,5
26,2,14,21,5
26,3,15,24,5
26,4,16,25,5
27,1,1,19,5
27,2,2,32,5
27,3,3,41,5
27,4,4,30,5
27,1,5,26,5
27,2,6,25,5
27,3,7,38,5
27,4,8,23,5
27,1,9,11,5
27,2,10,16,5
27,3,11,9,5
27,4,12,8,5
