ID,repetition,date,age_yn,age,sul,sex,head_s,jump_s,stop_s,speedreach_cms,head_yn,jump_yn,stop_yn,silence,jump,areas,distance,go.in.box,time.in.shelter,territory,females,neighbours,habitat,habitat2
i16-m-018,1,11.02.19,1,4,2.963,m,4,17,240,0.833,1,1,1,1,0,0,0,0,900.00,1037.30,4,4,90.99,90.99
i16-m-018,2,10.03.19,1,4,2.963,m,300,300,,0.000,0,0,0,0,5,6,479.10,1,617.28,999.61,7,9,,90.99
i16-m-018,3,24.03.19,1,4,2.963,m,2,3,,0.000,1,1,0,0,0,1,143.81,1,371.86,1348.13,6,6,,90.99
i16-m-018,4,15.04.19,1,4,2.963,m,1,49,,0.000,1,1,0,1,20,22,2277.60,1,575.56,1052.62,5,4,,90.99
i16-m-059,1,07.03.19,1,4,2.904,m,4,4,143,1.399,1,1,1,0,3,2,285.35,1,274.54,809.83,9,8,84.19,84.19
i18-m-001,1,03.03.19,1,2,2.931,m,4,5,36,5.556,1,1,1,0,13,12,1043.16,1,0.50,908.59,3,4,89.02,89.02
i18-m-009,1,10.02.19,1,2,2.959,m,5,5,20,10.000,1,1,1,1,3,3,397.16,1,29.87,247.18,5,4,71.25,71.25
i18-m-009,2,20.02.19,1,2,2.959,m,3,4,64,3.125,1,1,1,1,24,19,2801.04,1,2.50,518.17,7,6,,71.25
i18-m-009,3,22.02.19,1,2,2.959,m,3,11,79,2.532,1,1,1,0,0,2,95.53,1,0.50,991.15,9,8,,71.25
i18-m-009,4,06.03.19,1,2,2.959,m,4,6,27,7.407,1,1,1,0,0,1,3.26,1,130.39,821.57,7,8,,71.25
i18-m-009,5,10.04.19,1,2,2.959,m,4,5,31,6.452,1,1,1,0,8,7,721.48,1,43.55,1760.35,12,10,,71.25
i18-m-009,6,15.04.19,1,2,2.959,m,2,3,29,6.897,1,1,1,1,9,13,1454.66,1,75.35,1383.39,10,10,,71.25
i18-m-009,7,20.04.19,1,2,2.959,m,,,,,,,,,12,16,1517.26,1,85.83,1432.74,11,10,,71.25
i18-m-011,1,20.02.19,1,2,2.910,m,2,3,74,2.703,1,1,1,0,15,15,2551.17,1,609.14,1048.96,9,4,80.25,80.25
i18-m-011,2,03.03.19,1,2,2.910,m,3,6,98,2.041,1,1,1,0,1,2,575.81,1,326.07,1410.63,9,5,,80.25
i18-m-011,3,15.03.19,1,2,2.910,m,183,224,,0.000,1,1,0,0,19,9,1929.45,1,134.30,1418.26,10,6,,80.25
i18-m-015,1,19.02.19,1,2,2.989,m,4,9,,0.000,1,1,0,0,0,0,0.00,0,900.00,362.56,10,5,69.95,69.95
i18-m-023,1,12.02.19,1,2,2.885,m,6,6,155,1.290,1,1,1,1,24,23,3820.85,1,86.59,662.97,10,8,85.95,85.95
i18-m-023,2,26.02.19,1,2,2.885,m,7,9,,0.000,1,1,0,1,6,11,981.50,1,252.04,234.09,8,5,,85.95
i18-m-023,3,07.03.19,1,2,2.885,m,3,5,82,2.439,1,1,1,0,0,0,0.00,0,900.00,235.70,7,5,,85.95
i18-m-025,1,21.02.19,1,2,2.940,m,300,300,,0.000,0,0,0,0,0,0,0.00,0,900.00,495.59,12,5,69.81,69.81
i18-m-025,2,03.03.19,1,2,2.940,m,225,227,,0.000,1,1,0,0,3,3,267.18,1,149.65,364.89,10,5,,69.81
i18-m-025,3,19.03.19,1,2,2.940,m,3,4,82,2.439,1,1,1,0,18,21,1928.02,1,81.32,169.28,8,4,,69.81
i18-m-025,4,16.04.19,1,2,2.940,m,3,4,95,2.105,1,1,1,0,8,8,736.92,1,6.50,379.16,9,4,,69.81
i18-m-025,5,20.04.19,1,2,2.940,m,,,,,,,,,24,22,2837.44,1,150.40,440.12,11,4,,69.81
i18-m-027,1,21.02.19,1,2,2.968,m,2,5,57,3.509,1,1,1,1,0,0,0.00,0,900.00,303.22,6,5,86.54,86.54
i18-m-027,2,15.03.19,1,2,2.968,m,4,6,67,2.985,1,1,1,1,21,12,1793.73,1,524.55,324.23,6,4,,86.54
i18-m-027,3,20.03.19,1,2,2.968,m,3,10,55,3.636,1,1,1,1,,,,,,350.20,6,5,,86.54
i18-m-027,4,26.03.19,1,2,2.968,m,2,3,31,6.452,1,1,1,1,0,0,0.00,0,900.00,440.33,8,4,,86.54
i18-m-027,5,10.04.19,1,2,2.968,m,6,9,106,1.887,1,1,1,0,0,1,23.99,1,1.00,446.21,8,4,,86.54
i18-m-027,6,15.04.19,1,2,2.968,m,1,2,35,5.714,1,1,1,0,0,3,178.27,1,3.26,464.27,8,4,,86.54
i18-m-027,7,20.04.19,1,2,2.968,m,,,,,,,,,7,9,1871.55,1,763.01,478.74,9,4,,86.54
i18-m-031,1,10.03.19,1,2,2.995,m,3,6,35,5.714,1,1,1,0,5,6,697.04,1,303.84,698.41,5,3,92.12,92.12
i18-m-031,2,13.03.19,1,2,2.995,m,1,4,52,3.846,1,1,1,1,8,9,941.10,1,417.42,575.97,5,2,,92.12
i18-m-033,1,24.03.19,1,2,2.924,m,9,26,,0.000,1,1,0,1,13,7,1098.14,1,62.49,1346.33,8,7,71.19,71.19
i18-m-033,2,29.03.19,1,2,2.924,m,2,2,140,1.429,1,1,1,1,0,0,0.00,0,900.00,1098.02,8,5,,71.19
i18-m-033,3,07.04.19,1,2,2.924,m,4,27,,0.000,1,1,0,1,,,,,,668.87,5,3,,71.19
i18-m-035,1,10.02.19,1,2,2.982,m,2,4,163,1.227,1,1,1,1,7,9,854.40,1,304.96,574.51,9,8,76.72,76.72
i18-m-038,1,13.03.19,1,2,3.098,m,5,10,71,2.817,1,1,1,1,4,6,727.76,1,439.95,811.37,6,3,63.57,63.57
i18-m-038,2,20.03.19,1,2,3.098,m,3,4,75,2.667,1,1,1,1,17,20,2648.84,1,112.62,409.41,6,4,,63.57
i18-m-038,3,24.03.19,1,2,3.098,m,2,3,35,5.714,1,1,1,1,6,6,708.72,1,204.81,315.23,5,2,,63.57
i18-m-040,1,18.02.19,1,2,2.815,m,13,69,,0.000,1,1,0,0,,,,,,691.84,6,5,91.60,91.60
i18-m-040,2,03.03.19,1,2,2.815,m,262,265,,0.000,1,1,0,1,29,32,4648.63,1,464.47,202.14,5,4,,91.60
i18-m-040,3,12.03.19,1,2,2.815,m,8,12,78,2.564,1,1,1,1,26,26,3615.00,1,537.79,917.23,5,5,,91.60
i18-m-040,4,24.03.19,1,2,2.815,m,12,31,79,2.532,1,1,1,1,4,5,625.29,1,80.33,992.56,5,5,,91.60
i18-m-040,5,16.04.19,1,2,2.815,m,2,3,,0.000,1,1,0,1,2,4,466.15,1,1.25,259.64,8,4,,91.60
i18-m-041,1,22.02.19,1,2,3.004,m,31,33,88,2.273,1,1,1,0,,,,,,378.58,9,5,94.68,94.68
i18-m-041,2,26.03.19,1,2,3.004,m,27,32,,0.000,1,1,0,1,11,16,1711.04,1,688.40,665.05,9,8,,94.68
i18-m-041,3,28.03.19,1,2,3.004,m,25,103,139,1.439,1,1,1,0,18,23,2641.48,1,530.05,508.49,8,6,,94.68
i18-m-041,4,07.04.19,1,2,3.004,m,5,32,86,2.326,1,1,1,0,9,12,1481.08,1,849.65,653.93,8,6,,94.68
i18-m-041,5,15.04.19,1,2,3.004,m,32,33,103,1.942,1,1,1,0,19,17,2073.40,1,380.12,798.43,9,7,,94.68
i18-m-043,1,11.02.19,1,2,2.987,m,,,,,,,,,0,0,0.00,0,900.00,613.85,10,7,76.79,76.79
i18-m-043,2,12.02.19,1,2,2.987,m,3,4,56,3.571,1,1,1,1,0,0,0.00,0,900.00,599.68,10,7,,76.79
i18-m-043,3,12.03.19,1,2,2.987,m,60,300,,0.000,1,0,0,0,2,1,338.30,1,598.99,467.91,9,6,,76.79
i18-m-043,4,25.03.19,1,2,2.987,m,2,3,52,3.846,1,1,1,0,0,0,0.00,0,900.00,224.74,7,3,,76.79
i18-m-043,5,07.04.19,1,2,2.987,m,3,27,,0.000,1,1,0,1,0,0,0.00,0,900.00,432.60,8,3,,76.79
i18-m-043,6,14.04.19,1,2,2.987,m,7,10,,0.000,1,1,0,1,15,12,1544.39,1,161.54,425.41,9,3,,76.79
i18-m-043,7,19.04.19,1,2,2.987,m,,,,,,,,,2,1,9.01,1,0.49,453.80,9,3,,76.79
i18-m-047,1,20.02.19,1,2,2.959,m,7,56,124,1.613,1,1,1,0,5,8,722.63,1,87.09,565.70,5,4,88.60,88.60
i18-m-047,2,03.03.19,1,2,2.959,m,1,120,195,1.026,1,1,1,0,3,3,273.02,1,150.15,749.69,5,5,,88.60
i18-m-049,1,25.03.19,1,2,2.866,m,4,4,128,1.563,1,1,1,1,16,10,2017.97,1,285.80,643.62,9,5,85.13,85.13
i18-m-049,2,01.04.19,1,2,2.866,m,3,6,119,1.681,1,1,1,0,8,7,1132.65,1,192.66,318.99,9,5,,85.13
i18-m-049,3,06.04.19,1,2,2.866,m,2,5,76,2.632,1,1,1,1,7,10,1131.17,1,258.26,334.83,9,5,,85.13
i18-m-049,4,13.04.19,1,2,2.866,m,8,9,53,3.774,1,1,1,1,14,16,1876.50,1,1.00,533.93,13,5,,85.13
i18-m-053,1,17.04.19,1,2,2.866,m,4,8,,0.000,1,1,0,0,33,28,3415.90,1,239.00,324.50,3,1,86.21,86.21
i18-m-053,2,20.04.19,1,2,2.866,m,2,3,126,1.587,1,1,1,1,23,20,2585.69,1,171.18,418.14,4,2,,86.21
i18-m-054,1,12.02.19,1,2,2.945,m,223,300,,0.000,1,0,0,0,0,2,71.89,1,0.50,188.43,8,5,85.99,85.99
i18-m-054,2,21.02.19,1,2,2.945,m,143,300,,0.000,1,0,0,0,1,1,169.06,1,762.25,135.77,8,5,,85.99
i18-m-054,3,21.03.19,1,2,2.945,m,3,4,126,1.587,1,1,1,1,0,0,0.00,1,1.01,235.60,9,6,,85.99
i18-m-055,1,10.03.19,1,2,3.096,m,50,54,100,2.000,1,1,1,1,5,5,422.85,1,35.78,432.73,4,4,88.50,88.50
i18-m-055,2,20.03.19,1,2,3.096,m,7,10,59,3.390,1,1,1,1,21,11,1578.16,1,193.30,161.48,4,3,,88.50
i18-m-055,3,31.03.19,1,2,3.096,m,1,3,126,1.587,1,1,1,1,18,13,1943.31,1,256.50,133.76,3,3,,88.50
i18-m-059,1,23.02.19,1,2,2.863,m,300,300,,0.000,0,0,0,0,16,21,2273.13,1,98.09,932.00,6,3,85.79,85.79
i18-m-061,1,09.03.19,1,2,2.924,m,6,9,106,1.887,1,1,1,1,23,24,3458.72,1,75.06,519.49,4,3,72.60,72.60
i18-m-061,2,17.03.19,1,2,2.924,m,4,8,35,5.714,1,1,1,1,5,12,1400.90,1,733.40,629.95,4,4,,72.60
i18-m-061,3,24.03.19,1,2,2.924,m,5,29,84,2.381,1,1,1,1,6,6,483.01,1,93.84,598.09,4,4,,72.60
i18-m-061,4,01.04.19,1,2,2.924,m,3,12,58,3.448,1,1,1,0,12,20,2437.62,1,177.18,521.16,4,6,,72.60
i18-m-061,5,21.04.19,1,2,2.924,m,4,29,59,3.390,1,1,1,0,16,14,1944.14,1,47.52,1050.62,6,5,,72.60
