"","ID","Time1","Time2","observe","Attm","success","Group","testVal"
"1","BOX-KBS",0,153,0,0,0,"HI",0
"2","BOX-KBS",153,284,0,1,0,"HI",0
"3","GVX-GSS",0,153,0,0,0,"UC",0
"4","GVX-GSS",153,284,0,0,0,"UC",0
"5","GVX-GSS",284,303,0,0,0,"UC",0
"6","GVX-GSS",303,325,0,0,0,"UC",0
"7","GVX-GSS",325,343,0,0,0,"UC",0
"8","GVX-GSS",343,386,0,0,0,"UC",0
"9","GVX-GSS",386,388,0,0,0,"UC",0
"10","GVX-GSS",388,396,0,0,0,"UC",0
"11","GVX-GSS",396,399,0,0,0,"UC",0
"12","GVX-GSS",399,402,0,0,0,"UC",0
"13","GVX-GSS",402,410,0,0,0,"UC",0
"14","GVX-GSS",410,417,0,0,0,"UC",0
"15","GVX-GSS",417,461,0,0,0,"UC",0
"16","GVX-GSS",461,481,0,0,0,"UC",0
"17","GVX-GSS",481,484,0,0,0,"UC",0
"18","GVX-GSS",484,485,0,0,0,"UC",0
"19","GVX-GSS",485,495,0,0,0,"UC",0
"20","GVX-GSS",495,499,0,0,0,"UC",0
"21","GVX-GSS",499,534,0,0,0,"UC",0
"22","GVX-GSS",534,571,0,0,0,"UC",0
"23","GVX-GSS",571,576,0,0,0,"UC",0
"24","GVX-GSS",576,750,0,0,0,"UC",0
"25","GVX-GSS",750,760,0,0,0,"UC",0
"26","GVX-GSS",760,769,0,0,0,"UC",0
"27","GVX-GSS",769,773,0,0,0,"UC",0
"28","GVX-GSS",773,797,0,0,0,"UC",0
"29","GVX-GSS",797,817,0,0,0,"UC",0
"30","GVX-GSS",817,821,0,0,0,"UC",0
"31","GVX-GSS",821,829,0,0,0,"UC",0
"32","GVX-GSS",829,839,0,0,0,"UC",0
"33","GVX-GSS",839,851,0,0,0,"UC",0
"34","GVX-GSS",851,874,0,0,0,"UC",0
"35","GVX-GSS",874,893,0,0,0,"UC",0
"36","GVX-GSS",893,917,0,0,0,"UC",0
"37","GVX-GSS",917,934,0,0,0,"UC",0
"38","GVX-GSS",934,938,0,0,0,"UC",0
"39","GVX-GSS",938,971,0,0,0,"UC",0
"40","GVX-GSS",971,987,0,0,0,"UC",0
"41","GVX-GSS",987,1002,0,0,0,"UC",0
"42","GVX-GSS",1002,1003,0,0,0,"UC",0
"43","GVX-GSS",1003,1035,0,0,0,"UC",0
"44","GVX-GSS",1035,1070,0,0,0,"UC",0
"45","GVX-GSS",1070,1085,0,0,0,"UC",0
"46","GVX-GSS",1085,1089,0,0,0,"UC",0
"47","GVX-GSS",1089,1108,0,1,0,"UC",0
"48","KBV-GKX",0,153,0,0,0,"KI",0
"49","KBV-GKX",153,284,0,0,0,"KI",0
"50","KBV-GKX",284,303,0,0,0,"KI",0
"51","KBV-GKX",303,325,0,0,0,"KI",0
"52","KBV-GKX",325,343,0,0,0,"KI",0
"53","KBV-GKX",343,386,0,0,0,"KI",0
"54","KBV-GKX",386,388,0,0,0,"KI",0
"55","KBV-GKX",388,396,0,0,0,"KI",0
"56","KBV-GKX",396,399,0,0,0,"KI",0
"57","KBV-GKX",399,402,0,0,0,"KI",0
"58","KBV-GKX",402,410,0,0,0,"KI",0
"59","KBV-GKX",410,417,0,0,0,"KI",0
"60","KBV-GKX",417,461,0,0,0,"KI",0
"61","KBV-GKX",461,481,0,0,0,"KI",0
