bird_id,bird,year,sex,cohort,age,tarsus,weight,body_cond,handling,ret_latency,time,time_minutes,session,in_ses_trial,cumul_site,distance,angle,height,worms_ate,,
1,Orio,2020,0,2018,2,34.3,28.3,0.825072886,39.25,17,9:44,584,1,1,1,7,322,5,4,,
1,Orio,2020,0,2018,2,34.3,28.3,0.825072886,21.753,17,9:44,584,1,2,2,9,281,1.8,4,,
1,Orio,2020,0,2018,2,34.3,28.3,0.825072886,32.502,17,9:44,584,1,3,3,10,222,3.1,4,,
1,Orio,2020,0,2018,2,34.3,28.3,0.825072886,24.253,17,9:44,584,1,4,4,8,325,4,4,,
1,Orio,2020,0,2018,2,34.3,28.3,0.825072886,21.005,17,9:44,584,1,5,3,10,222,3.1,4,,
1,Orio,2020,0,2018,2,34.3,29,0.84548105,24.002,7,9:34,574,2,1,3,7,210,3.1,4,,
1,Orio,2020,0,2018,2,34.3,29,0.84548105,57.253,7,9:34,574,2,2,4,10,4,4,4,,
1,Orio,2020,0,2018,2,34.3,29,0.84548105,9.05,7,9:34,574,2,3,3,7,210,3.1,4,,
1,Orio,2020,0,2018,2,34.3,29,0.84548105,43.005,7,9:34,574,2,4,5,10,219,7.8,4,,
1,Orio,2020,0,2018,2,34.3,29,0.84548105,44.003,7,9:34,574,2,5,4,10,4,4,4,,
1,Orio,2020,0,2018,2,34.3,29.5,0.860058309,41,3,9:48,588,3,1,6,7,39,5,7,,
1,Orio,2020,0,2018,2,34.3,29.5,0.860058309,37.748,3,9:48,588,3,2,6,7,39,5,7,,
1,Orio,2020,0,2018,2,34.3,29.5,0.860058309,68.241,3,9:48,588,3,3,7,7,120,7,7,,
1,Orio,2020,0,2018,2,34.3,29.5,0.860058309,35.999,3,9:48,588,3,4,4,9,320,4,7,,
1,Orio,2020,0,2018,2,34.3,29.5,0.860058309,61.248,3,9:48,588,3,5,8,12,25,5,7,,
1,Orio,2021,0,2018,3,34.3,28.2,0.822157434,23.001,,11:27,687,1,1,1,4.6,55,4.4,,,
1,Orio,2021,0,2018,3,34.3,28.2,0.822157434,23.5,,11:27,687,1,2,2,6,276,4,,,
1,Orio,2021,0,2018,3,34.3,28.2,0.822157434,9.251,,11:27,687,1,3,3,6,17,1.8,,,
1,Orio,2021,0,2018,3,34.3,28.2,0.822157434,29.751,,11:27,687,1,4,4,12,25,5,,,
1,Orio,2021,0,2018,3,34.3,28.2,0.822157434,14.999,,11:27,687,1,5,5,6,150,1.7,,,
1,Orio,2021,0,2018,3,34.3,28.7,0.836734694,53.254,,11:21,681,2,1,2,6,276,4,,,
