"","BirdID","Test","Condition","Time","LatencyFirstLand","LatencyFirstTimeWithin20cmOfObject","LatencyFirstEnterTent","TotalDurationInTent","TotalDurationNear.20cm","TotalDurationFar.20cm","TotalDurationOutOfView","ClosestDistanceToApparatus","TrialDuration","Site","FlexGroup","event"
"1","Adobo","Environment","Familiar",1,652,"1798.2","1831.4",176,195.8,953,1418.2,"Near",2743,"AZ","Manipulation",1
"2","Adobo","Environment","Novel",1,874.6,"882.6","n/a",0,834.8,271.6,1620.6,"Touch",2727,"AZ","Manipulation",1
"3","Adobo","Environment","Familiar",2,107.4,"388.4","388.8",136.4,418,1656.6,801,"Near",3012,"AZ","Manipulation",1
"4","Adobo","Environment","Novel",2,1074.8,"11.2","n/a",0,1150.4,1276.2,290,"Touch",2716.6,"AZ","Manipulation",1
"5","Avocada","Environment","Familiar",1,33,"1380.2","1381.6",5.4,23,753,1935.4,"Near",2716.8,"AZ","Control",1
"6","Avocada","Environment","Novel",1,953.2,"1068.8","n/a",0,41.8,1145,1592.2,"Near",2779,"AZ","Control",1
"7","Avocada","Environment","Familiar",2,210,"227.2","234.2",19.8,84.4,445,2163.4,"Near",2712.6,"AZ","Control",1
"8","Avocada","Environment","Novel",2,270.4,"286.6","n/a",0,33.8,726.2,1944,"Near",2704,"AZ","Control",1
"9","Burrito","Environment","Familiar",1,383,"383","383",5.6,213.6,503.4,2005.8,"Near",2728.4,"AZ","Manipulation",1
"10","Burrito","Environment","Novel",1,79.4,"131","573.6",15.8,648.2,311,1693,"Touch",2668,"AZ","Manipulation",1
"11","Burrito","Environment","Familiar",2,51.8,"174","174.2",32.2,48.6,1067.8,1592.2,"Near",2740.8,"AZ","Manipulation",1
"12","Burrito","Environment","Novel",2,5,"9.8","380.6",354.4,994.8,1011.6,390.8,"Touch",2751.6,"AZ","Manipulation",1
"13","Chalupa","Environment","Familiar",1,1098.8,"1134.4","1149",0.8,130.6,157.4,2426.8,"Near",2715.6,"AZ","Manipulation",1
"14","Chalupa","Environment","Novel",1,836.2,"995.8","n/a",0,52.8,263.4,2399.6,"Near",2715.8,"AZ","Manipulation",1
"15","Chalupa","Environment","Familiar",2,854.8,"924.6","935.4",42,22.2,100.6,2540.2,"Near",2705,"AZ","Manipulation",1
"16","Chalupa","Environment","Novel",2,1977,"n/a","n/a",0,0,198,2517,"Far",2715,"AZ","Manipulation",1
"17","Chilaquile","Environment","Familiar",1,43,"161","161.4",59.2,154.2,216.8,2282.8,"Near",2713,"AZ","Manipulation",1
"18","Chilaquile","Environment","Novel",1,629.6,"213.6","n/a",8.4,113.8,558.8,2032.8,"Touch",2713.8,"AZ","Manipulation",1
"19","Chilaquile","Environment","Familiar",2,35.8,"35.8","95.8",33.4,384,841.2,1474.4,"Near",2733,"AZ","Manipulation",1
"20","Chilaquile","Environment","Novel",2,121,"144.4","1044.6",8.8,935.4,201.6,1571.4,"Touch",2717.2,"AZ","Manipulation",1
"21","Diablo","Environment","Familiar",1,1435,"n/a","n/a",0,0,186.6,2532.6,"Far",2719.2,"AZ","Manipulation",1
"22","Diablo","Environment","Novel",1,3060,"n/a","n/a",0,0,0,2716,"OutOfView",2716,"AZ","Manipulation",0
"23","Diablo","Environment","Familiar",2,2257,"2797.4","n/a",0,0.2,341.2,2620.8,"Near",2962.2,"AZ","Manipulation",1
"24","Diablo","Environment","Novel",2,3060,"n/a","n/a",0,0,0,2720.4,"OutOfView",2720.4,"AZ","Manipulation",0
"25","Fideo","Environment","Familiar",1,70.6,"595.2","596",9.6,29.4,202.6,2483.6,"Near",2725.2,"AZ","Control",1
"26","Fideo","Environment","Novel",1,3060,"n/a","n/a",0,0,0,2734.2,"OutOfView",2734.2,"AZ","Control",0
"27","Fideo","Environment","Familiar",2,725,"730.6","742.4",6.4,15.4,283.6,2491.6,"Near",2797,"AZ","Control",1
"28","Fideo","Environment","Novel",2,1299,"n/a","n/a",0,0,70,2657.2,"Far",2727.2,"AZ","Control",1
"29","Habanero","Environment","Familiar",1,152.6,"154","288.6",92.8,505.8,1251.2,862.6,"Near",2712.4,"AZ","Manipulation",1
"30","Habanero","Environment","Novel",1,234,"234","n/a",0,193.2,1101.6,1422.4,"Near",2717.2,"AZ","Manipulation",1
"31","Habanero","Environment","Familiar",2,125.4,"125.4","125.4",6.8,13,949.6,1622.4,"Near",2591.8,"AZ","Manipulation",1
