"","Flock","Treatment","ID","Door","Solve","Trial","Time (min)","Adjusted","type"
"1","XM","C","BYP-OWX","A",0,"NA","NA",291,"first"
"2","XM","C","BYP-OWX","B",0,"NA","NA",291,"first"
"3","XM","C","BYP-OWX","C",0,"NA","NA",291,"first"
"4","XM","C","BYP-OWX","D",0,"NA","NA",291,"first"
"5","XM","C","ORV-OXB","A",1,"3","34",274,"first"
"6","XM","C","ORV-OXB","B",1,"3","11",251,"first"
"7","XM","C","ORV-OXB","C",1,"2","41",161,"first"
"8","XM","C","ORV-OXB","D",1,"1","87",87,"first"
"9","KI","C","XYG-GRO","A",1,"1","116",116,"first"
"10","KI","C","XYG-GRO","B",1,"1","107",107,"first"
"11","KI","C","XYG-GRO","C",1,"1","69",69,"first"
"12","KI","C","XYG-GRO","D",1,"1","30",30,"first"
"13","KI","C","RGO-XBG","A",0,"NA","NA",254,"first"
"14","KI","C","RGO-XBG","B",0,"NA","NA",254,"first"
"15","KI","C","RGO-XBG","C",0,"NA","NA",254,"first"
"16","KI","C","RGO-XBG","D",0,"NA","NA",254,"first"
"17","CO","F","MOX-MGY","A",1,"3","5",113,"first"
"18","CO","F","MOX-MGY","B",1,"4","75",254,"first"
"19","CO","F","MOX-MGY","C",1,"1","3.25",3.25,"first"
"20","CO","F","MOX-MGY","D",0,"NA","NA",408,"first"
"21","UC","F","XBR-GRB","A",0,"NA","NA",359.6,"first"
"22","UC","F","XBR-GRB","B",0,"NA","NA",359.6,"first"
"23","UC","F","XBR-GRB","C",0,"NA","NA",359.6,"first"
"24","UC","F","XBR-GRB","D",0,"NA","NA",359.6,"first"
"25","TA","F","OBO-OXO","A",0,"NA","NA",322,"first"
"26","TA","F","OBO-OXO","B",0,"NA","NA",322,"first"
"27","TA","F","OBO-OXO","C",1,"3","4.5",92.5,"first"
"28","TA","F","OBO-OXO","D",0,"NA","NA",322,"first"
"29","XM","F","GRG-XRS","A",1,"1","42.3",42.3,"first"
"30","XM","F","GRG-XRS","B",1,"1","2.75",2.75,"first"
"31","XM","F","GRG-XRS","C",1,"1","45.75",45.75,"first"
"32","XM","F","GRG-XRS","D",1,"1","61",61,"first"
"33","KI","F","YOW-WRX","A",1,"1","2.75",2.75,"first"
"34","KI","F","YOW-WRX","B",1,"1","19",19,"first"
"35","KI","F","YOW-WRX","C",1,"1","42.25",42.25,"first"
"36","KI","F","YOW-WRX","D",1,"1","24.6",24.6,"first"
"37","PL","F","WVB-RXO","A",1,"1","18.5",18.5,"first"
"38","PL","F","WVB-RXO","B",1,"1","29.75",29.75,"first"
"39","PL","F","WVB-RXO","C",1,"2","1",121,"first"
"40","PL","F","WVB-RXO","D",1,"1","1.5",1.5,"first"
"41","TA","C","OSG-XKV","A",0,"NA","NA",408,"first"
"42","TA","C","OSG-XKV","B",0,"NA","NA",408,"first"
"43","TA","C","OSG-XKV","C",0,"NA","NA",408,"first"
"44","TA","C","OSG-XKV","D",1,"1","40.25",40.25,"first"
"45","TA","C","BXB-BSB","A",1,"2","85",205,"first"
"46","TA","C","BXB-BSB","B",1,"1","58.25",58.25,"first"
"47","TA","C","BXB-BSB","C",1,"3","51.18",291.18,"first"
"48","TA","C","BXB-BSB","D",1,"4","21.25",381.25,"first"
"49","UC","C","PRP-POX","A",1,"3","32.42",272.42,"first"
"50","UC","C","PRP-POX","B",1,"2","112",232,"first"
"51","UC","C","PRP-POX","C",0,"NA","NA",720,"first"
"52","UC","C","PRP-POX","D",1,"3","95",335,"first"
"53","UC","C","BGB-BXB","A",0,"NA","NA",720,"first"
"54","UC","C","BGB-BXB","B",0,"NA","NA",720,"first"
"55","UC","C","BGB-BXB","C",0,"NA","NA",720,"first"
"56","UC","C","BGB-BXB","D",0,"NA","NA",720,"first"
"57","CO","C","GXR-ORG","A",0,"NA","NA",600,"first"
"58","CO","C","GXR-ORG","B",0,"NA","NA",600,"first"
"59","CO","C","GXR-ORG","C",1,"1","65",65,"first"
"60","CO","C","GXR-ORG","D",1,"2","59",179,"first"
"61","CO","C","GXG-BYB","A",0,"NA","NA",600,"first"
"62","CO","C","GXG-BYB","B",0,"NA","NA",600,"first"
"63","CO","C","GXG-BYB","C",0,"NA","NA",600,"first"
"64","CO","C","GXG-BYB","D",0,"NA","NA",600,"first"
"65","HI","F","XRB-GPG","A",1,"1","9.75",9.75,"first"
"66","HI","F","XRB-GPG","B",1,"1","22.75",22.75,"first"
"67","HI","F","XRB-GPG","C",1,"1","71.5",71.5,"first"
"68","HI","F","XRB-GPG","D",1,"1","1.5",1.5,"first"
